店名,評価,レビュー数,ブックマーク数,代表味分類,住所,市町村,URL
ひばり ザ・ラーメンショップ,3.07,7,109,醤油,大分県大分市府内町2-4-8若竹ビル 1F,大分市,https://tabelog.com/oita/A4401/A440101/44013454/
なかやしき,3.05,7,56,不明,大分県玖珠郡玖珠町帆足330-13,玖珠郡玖珠町,https://tabelog.com/oita/A4404/A440404/44011122/
十五万石ラーメンひろひろ,3.06,9,53,豚骨,大分県大分市日吉町16-23,大分市,https://tabelog.com/oita/A4401/A440101/44008920/
博多ラーメン うまか亭,3.01,6,32,不明,大分県玖珠郡玖珠町大字山田192-2,玖珠郡玖珠町,https://tabelog.com/oita/A4404/A440404/44007481/
純とんこつ のぶさんラーメン,-,-,1,不明,大分県国東市国東町鶴川1365-1KITOWA,国東市,https://tabelog.com/oita/A4403/A440302/44014300/
らぁめん家3,3.01,3,17,醤油,大分県大分市大字皆春397-21,大分市,https://tabelog.com/oita/A4401/A440101/44011734/
一番亭ラーメン,3.00,4,17,不明,大分県玖珠郡玖珠町塚脇180-9,玖珠郡玖珠町,https://tabelog.com/oita/A4404/A440404/44001526/
ごはんどき 高城店,3.00,3,20,味噌,大分県大分市高城西町32-58,大分市,https://tabelog.com/oita/A4401/A440101/44007245/
ラーメン香月,3.01,4,53,不明,大分県佐伯市新女島6836,佐伯市,https://tabelog.com/oita/A4401/A440105/44010574/
台湾料理 吉源 敷戸店,3.06,9,40,味噌,大分県大分市鴛野1011,大分市,https://tabelog.com/oita/A4401/A440101/44013093/
SALMON NOODLE 3.0おおいた,3.05,5,98,不明,大分県大分市末広町2-2-2,大分市,https://tabelog.com/oita/A4401/A440101/44014230/
鶏の虜,3.05,7,78,鶏白湯,大分県大分市畑中3-3-55,大分市,https://tabelog.com/oita/A4401/A440101/44013837/
ラーメン ごくまる 日田店,3.03,7,35,豚骨,大分県日田市南友田814,日田市,https://tabelog.com/oita/A4404/A440403/44012810/
十五万石 宗方店,3.02,3,27,豚骨,大分県大分市上宗方555-1,大分市,https://tabelog.com/oita/A4401/A440101/44008157/
えびす,3.00,3,8,豚骨,大分県大分市都町2-4-14園田ビル 1F,大分市,https://tabelog.com/oita/A4401/A440101/44014313/
麺屋さいこう,3.02,5,43,不明,大分県豊後高田市呉崎2691-1,豊後高田市,https://tabelog.com/oita/A4404/A440402/44012799/
らーめん傳々 津久見店,3.00,2,8,不明,大分県津久見市中央町20-4,津久見市,https://tabelog.com/oita/A4401/A440104/44013419/
琴食堂,3.05,6,101,豚骨,大分県佐伯市直川仁田原125番地,佐伯市,https://tabelog.com/oita/A4401/A440105/44012729/
ら～めん Risa うまいもん通り店,3.00,1,16,二郎系,大分県佐伯市城東町4,佐伯市,https://tabelog.com/oita/A4401/A440105/44011475/
アルク,3.00,2,36,不明,大分県竹田市久住町大字栢木574-38,竹田市,https://tabelog.com/oita/A4401/A440102/44011633/
七味ラーメン 船小路店,3.01,2,16,不明,大分県別府市船小路町3-22,別府市,https://tabelog.com/oita/A4402/A440202/44014013/
ヌードル,3.04,8,95,豚骨,大分県大分市賀来西1-8-3,大分市,https://tabelog.com/oita/A4401/A440101/44010753/
辛麺屋枡元 大分判田店,3.04,4,36,不明,大分県大分市大字下判田字用作2249-1,大分市,https://tabelog.com/oita/A4401/A440101/44013972/
番番亭,-,2,27,不明,大分県大分市勢家町3-2-12,大分市,https://tabelog.com/oita/A4401/A440101/44007931/
大珉,3.05,6,71,味噌,大分県大分市豊海4-1-1,大分市,https://tabelog.com/oita/A4401/A440101/44001448/
万来,3.01,2,20,豚骨,大分県杵築市杵築北浜665-399,杵築市,https://tabelog.com/oita/A4403/A440301/44013042/
十五万石 鶴崎店,3.03,4,20,味噌,大分県大分市中鶴崎2-5-6かねしんビル 1F,大分市,https://tabelog.com/oita/A4401/A440101/44009865/
長浜らーめんとん平 中津店,3.07,9,61,豚骨,大分県中津市大字島田217-3,中津市,https://tabelog.com/oita/A4404/A440401/44014057/
峰富,3.03,7,46,不明,大分県大分市佐賀関,大分市,https://tabelog.com/oita/A4401/A440101/44001424/
大盛食堂,3.07,8,117,不明,大分県大分市中津留2-1-1,大分市,https://tabelog.com/oita/A4401/A440101/44001085/
ラーメン・カフェ 明星,3.03,7,83,醤油,大分県国東市国見町竹田津3580-5,国東市,https://tabelog.com/oita/A4403/A440302/44009066/
札幌らぁめん こぐま,3.02,5,74,味噌,大分県佐伯市大字青山574,佐伯市,https://tabelog.com/oita/A4401/A440105/44011713/
三国らーめん,3.02,3,28,豚骨,大分県豊後大野市三重町赤嶺1983,豊後大野市,https://tabelog.com/oita/A4401/A440103/44013467/
皆来軒,3.01,5,79,豚骨,大分県佐伯市長島町2-4-24,佐伯市,https://tabelog.com/oita/A4401/A440105/44001495/
